"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A03194306",363487,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.STJBIPV9""]","[34483948]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02191797",361272,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD1.901.1"",""UNC.CUAD1.907.1"",""UNC.CUAD1.911.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1""]","[34353272,34353507,34353505,34353276,34353274]","[1,6,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190397",354910,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.904.1.1""]","[34228623]","[25]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190393",354833,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.904.1.1""]","[34225723]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190326",354796,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.912.1""]","[34217196]","[25]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190325",354785,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.912.1""]","[34214558]","[25]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190284",354685,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.908.1""]","[34212759]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01191502",354480,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.906.1.1""]","[34178112]","[300]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180945",351390,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.907.1""]","[33835648]","[300]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD1.907.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1"",""UNC.CUAD.907.1""]","[33770100,33770350,33770124,33770122,33770115]","[1,6,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
