"empresa","sku","nombre","total"
"AMX_Ent_2428841","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1389358","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2476757","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1806258","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1995114","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2306198","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2461520","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1244052","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2513592","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1806258","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2080279","TRCLS","BroadTouch Business Communicator Mobile",40
"AMX_Ent_2304833","TRCLT","BroadTouch Business Communicator Desktop",11
"AMX_Ent_2375618","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1419198","TRCLS","BroadTouch Business Communicator Mobile",6
"ConectaT","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1772869","TRCLS","BroadTouch Business Communicator Mobile",7
"AMX_Ent_2499780","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2063322","TRCLT","BroadTouch Business Communicator Desktop",33
"AMX_Ent_2198225","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_2246024","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2118251","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2463363","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1242849","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2518975","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2497674","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_2109973","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2318290","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2242061","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1406902","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2369843","TRCLS","BroadTouch Business Communicator Mobile",30
"AMX_Ent_1389358","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2345983","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2369843","TRCLT","BroadTouch Business Communicator Desktop",30
"AMX_Ent_2198225","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2518975","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2345734","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1917515","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1431907","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1375121","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2262604","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1438057","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_1061179","TRCLS","BroadTouch Business Communicator Mobile",14
"AMX_Ent_2062570","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1433528","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2011695","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_2054084","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2176612","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_2476339","TRCLT","BroadTouch Business Communicator Desktop",20
"AMX_Ent_1340057","TRCLS","BroadTouch Business Communicator Mobile",6
"AMX_Ent_1535910","TRCLT","BroadTouch Business Communicator Desktop",11
"AMX_Ent_1542735","TRCLS","BroadTouch Business Communicator Mobile",17
"AMX_Ent_2233642","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1924733","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2270213","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1369069","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1333158","TRCLT","BroadTouch Business Communicator Desktop",6
"AMX_Ent_1503488","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2080279","TRCLT","BroadTouch Business Communicator Desktop",40
"AMX_Ent_2054084","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2290814","TRCLS","BroadTouch Business Communicator Mobile",6
"AMX_Ent_1749201","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_2484874","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1469542","TRCLT","BroadTouch Business Communicator Desktop",6
"AMX_Ent_1388110","TRCLS","BroadTouch Business Communicator Mobile",7
"AMX_Ent_2075361","TRCLS","BroadTouch Business Communicator Mobile",99
"AMX_Ent_2000508","TRCLT","BroadTouch Business Communicator Desktop",27
"AMX_Ent_1966829","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1405165","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_1432517","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1966829","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2425212","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2176612","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_1431907","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1470678","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2370915","TRCLT","BroadTouch Business Communicator Desktop",19
"AMX_Ent_2414026","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1434516","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1995114","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2509605","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1221947","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2007591","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2482806","TRCLS","BroadTouch Business Communicator Mobile",20
"AMX_Ent_2063322","TRCLS","BroadTouch Business Communicator Mobile",32
"AMX_Ent_2201755","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2304833","TRCLS","BroadTouch Business Communicator Mobile",11
"AMX_Ent_2101454","TRCLS","BroadTouch Business Communicator Mobile",18
"AMX_Ent_2463363","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1802499","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_1802499","TRCLT","BroadTouch Business Communicator Desktop",8
"AMX_Ent_2109973","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2011695","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2169494","TRCLS","BroadTouch Business Communicator Mobile",18
"AMX_Ent_1433528","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2083199","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2255759","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2146599","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2035514","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2192373","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1469542","TRCLS","BroadTouch Business Communicator Mobile",7
"AMX_Ent_1432517","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1221947","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1772869","TRCLT","BroadTouch Business Communicator Desktop",7
"AMX_Ent_1391245","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2118251","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1581840","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1263806","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1908412","TRCLS","BroadTouch Business Communicator Mobile",22
"AMX_Ent_1061179","TRCLT","BroadTouch Business Communicator Desktop",14
"AMX_Ent_1369069","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1388110","TRCLT","BroadTouch Business Communicator Desktop",7
"AMX_Ent_1719206","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2510992","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2233642","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2340488","TRCLT","BroadTouch Business Communicator Desktop",8
"AMX_Ent_1391245","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2340488","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_2293540","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2169494","TRCLT","BroadTouch Business Communicator Desktop",18
"AMX_Ent_2345257","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2306198","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2083199","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1772020","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2517659","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1503488","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2491295","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_2312867","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1841802","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2042115","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1853570","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2047269","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2347538","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2288406","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2519030","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2345983","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1853570","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2087589","TRCLS","BroadTouch Business Communicator Mobile",35
"AMX_Ent_1391317","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1749201","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_1436402","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2479875","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_1435834","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1436402","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2417763","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2318290","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1981971","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2308451","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2425212","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2308451","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1229046","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1229046","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2493221","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2436518","TRCLT","BroadTouch Business Communicator Desktop",6
"AMX_Ent_1333022","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2519030","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1333022","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2443261","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1437825","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1720207","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2180873","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2180873","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_1119695","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1985273","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2487396","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2312867","TRCLT","BroadTouch Business Communicator Desktop",2
"ConectaT","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1421478","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1242849","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1677047","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1924733","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2192373","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_1677047","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_1439143","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1470678","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1764741","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2517659","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1720207","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1438057","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_1416182","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1399592","TRCLT","BroadTouch Business Communicator Desktop",12
"AMX_Ent_2000508","TRCLS","BroadTouch Business Communicator Mobile",27
"AMX_Ent_1980426","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2380923","TRCLS","BroadTouch Business Communicator Mobile",25
"AMX_Ent_2522325","TRCLT","BroadTouch Business Communicator Desktop",16
"AMX_Ent_2268489","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1772020","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2268489","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2347538","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1954735","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2352992","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2370915","TRCLS","BroadTouch Business Communicator Mobile",19
"AMX_Ent_1494561","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_1995862","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1995862","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1952379","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2083057","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2065070","TRCLS","BroadTouch Business Communicator Mobile",12
"AMX_Ent_1980426","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2460268","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1607946","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2146599","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2047269","TRCLS","BroadTouch Business Communicator Mobile",9
