"folio","clientName","status","sku","partId","qty","qtyFac"
"A05192167","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35402169,1,"[]"
"A05192091","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35399594,1,"[]"
"A05192088","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35399584,1,"[]"
"A05192090","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35399589,1,"[]"
"A05192085","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35399579,1,"[]"
"A05192084","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35399574,1,"[]"
"A05192083","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35398689,1,"[]"
"A05192083","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35398691,1,"[]"
"A05192078","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35398673,1,"[]"
"A05192078","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35398675,1,"[]"
"A05192081","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35398681,1,"[]"
"A05192081","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35398683,1,"[]"
"A05192073","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35398637,6,"[]"
"A05192073","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35398639,6,"[]"
"A05192075","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35398657,6,"[]"
"A05192075","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35398655,6,"[]"
"A05192036","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35397067,2,"[]"
"A05192036","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35397069,2,"[]"
"A05191285","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35277338,1,"[]"
"A04196580","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35094002,12,"[]"
"A04196559","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35091063,1,"[]"
"A04196572","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35091001,9,"[]"
