"folio","clientName","siteNumber","oa","service"
"A05193322","BBVA BANCOMER",71559918,376349,"CUAD-AVAYA"
"A05193319","BBVA BANCOMER",70114958,376349,"CUAD-AVAYA"
"A05193321","BBVA BANCOMER",70114561,376349,"CUAD-AVAYA"
"A05193314","BBVA BANCOMER",70118882,376348,"CUAD-AVAYA"
"A05193310","BBVA BANCOMER",70114884,376348,"CUAD-AVAYA"
"A05193312","BBVA BANCOMER",70114934,376348,"CUAD-AVAYA"
"A05193308","BBVA BANCOMER",70114763,376348,"CUAD-AVAYA"
"A05193304","BBVA BANCOMER",71575884,376347,"CUAD-AVAYA"
"A05193307","BBVA BANCOMER",70114597,376347,"CUAD-AVAYA"
"A05193303","BBVA BANCOMER",70114711,376347,"CUAD-AVAYA"
"A05193300","BBVA BANCOMER",70114169,376347,"CUAD-AVAYA"
"A05193295","BBVA BANCOMER",70122021,376325,"CUAD-AVAYA"
"A05193297","BBVA BANCOMER",70221709,376325,"CUAD-AVAYA"
"A05193299","BBVA BANCOMER",71294035,376325,"CUAD-AVAYA"
"A05193296","BBVA BANCOMER",70197775,376325,"CUAD-AVAYA"
"A05193292","BBVA BANCOMER",70115310,376325,"CUAD-AVAYA"
"A05193293","BBVA BANCOMER",70115643,376325,"CUAD-AVAYA"
"A05193294","BBVA BANCOMER",70115466,376325,"CUAD-AVAYA"
"A05193273","BBVA BANCOMER",70114943,376301,"CUAD-AVAYA"
"A05193277","BBVA BANCOMER",70115029,376301,"CUAD-AVAYA"
"A05193276","BBVA BANCOMER",71236253,376301,"CUAD-AVAYA"
"A05193278","BBVA BANCOMER",71576846,376301,"CUAD-AVAYA"
"A05193275","BBVA BANCOMER",70114539,376301,"CUAD-AVAYA"
"A05193274","BBVA BANCOMER",70114566,376301,"CUAD-AVAYA"
"A05193272","BBVA BANCOMER",70114620,376301,"CUAD-AVAYA"
"A05193245","BBVA BANCOMER",71622914,376164,"CUAD-AVAYA"
"A05192912","BBVA BANCOMER",71797840,375137,"CUAD-AVAYA"
"A05192806","BBVA BANCOMER",71712906,375068,"CUAD-AVAYA"
"A05192682","BBVA BANCOMER",70197365,374657,"CUAD-AVAYA"
"A05192547","BBVA BANCOMER",71578495,374222,"CUAD-AVAYA"
"A05192332","BBVA BANCOMER",71577911,373743,"CUAD-AVAYA"
"A05192338","BBVA BANCOMER",71590670,373743,"CUAD-AVAYA"
"A05192322","BBVA BANCOMER",71380149,373743,"CUAD-AVAYA"
"A05192330","BBVA BANCOMER",70115022,373743,"CUAD-AVAYA"
"A05192314","BBVA BANCOMER",70114514,373743,"CUAD-AVAYA"
"A05192320","BBVA BANCOMER",70114916,373743,"CUAD-AVAYA"
"A05192337","BBVA BANCOMER",71639004,373742,"CUAD-AVAYA"
"A05192340","BBVA BANCOMER",71623701,373742,"CUAD-AVAYA"
"A05192329","BBVA BANCOMER",71622918,373742,"CUAD-AVAYA"
"A05192328","BBVA BANCOMER",71234071,373742,"CUAD-AVAYA"
"A05192324","BBVA BANCOMER",71251329,373742,"CUAD-AVAYA"
"A05192321","BBVA BANCOMER",70122026,373742,"CUAD-AVAYA"
"A05192319","BBVA BANCOMER",70122134,373740,"CUAD-AVAYA"
"A05192189","BBVA BANCOMER",71442945,373417,"CUAD-AVAYA"
"A05192168","BBVA BANCOMER",71414597,373417,"CUAD-AVAYA"
"A05192182","BBVA BANCOMER",71397789,373417,"CUAD-AVAYA"
"A05192163","BBVA BANCOMER",71294035,373417,"CUAD-AVAYA"
"A05192167","BBVA BANCOMER",71294035,373417,"CUAD-AVAYA"
"A05192091","BBVA BANCOMER",71813442,373328,"CUAD-AVAYA"
"A05192088","BBVA BANCOMER",71813440,373328,"CUAD-AVAYA"
"A05192090","BBVA BANCOMER",71813441,373328,"CUAD-AVAYA"
"A05192085","BBVA BANCOMER",71813439,373328,"CUAD-AVAYA"
