"Empresa","CSP","Qty"
"Licenciamiento","Video Add-On",2
"Generadora_Fenix","Collaborate",14
"SFGEBCS","Messaging",8
"Gayosso","BroadTouch Business Communicator Mobile - Video",44
"LALA","BroadTouch Business Communicator Desktop - Audio",5
"fiscaliatabasco","BroadTouch Business Communicator Tablet - Video",24
"GCM","BroadTouch Business Communicator Mobile - Video",2
"Euroelectrica","5PREMIUM",10
"Cometra","2BUSINESSLINE",15
"DMHS","3STANDARD",12
"FCI_Administradora","5PREMIUM",14
"GCM","BroadTouch Business Communicator Tablet - Video",1
"Vsys","BroadWorks Receptionist - Office",1
"GCM","BroadTouch Business Communicator Desktop - Video",18
"GCM","3STANDARD",95
"Nuestra_Caja","Messaging",2
"Jugos_del_Valle","Messaging",7
"Fundacion_TELMEX","5PREMIUM",5
"Fundacion_TELMEX","3STANDARD",26
"Corporacion_El_Asturiano","2BUSINESSLINE",30
"FGE","BroadTouch Business Communicator Tablet - Video",34
"GDF","BroadTouch Business Communicator Tablet - Video",55
"Vsys","Calling Line ID Blocking Override",16
"Fundacion_TELMEX","1BASE",57
"H_TSJET","5PREMIUM",11
"DMHS","1BASE",238
"HCDG","BroadTouch Business Communicator Tablet - Video",475
"DMH","BroadTouch Business Communicator Desktop - Video",43
"Licenciamiento","Calling Line ID Blocking Override",2
"GDF","3STANDARD",55
"FOVISEC","BroadTouch Business Communicator Mobile - Video",3
"DMH","4PERSONALMOBILITY",44
"SESESP","2BUSINESSLINE",54
"Vsys","BroadTouch Business Communicator Mobile",6
"Cometra","Messaging",15
"Super_Q","Messaging",11
"MTBM","2BUSINESSLINE",79
"Bufete_RM","3STANDARD",37
"Safety_Textiles","4PERSONALMOBILITY",4
"Multiservicios_Nieto","BroadTouch Business Communicator Mobile - Video",6
"Euroelectrica","BroadWorks Receptionist - Enterprise",1
"Famosa","Collaborate",26
"Famosa","Messaging",467
"GVE","4PERSONALMOBILITY",8
"GFC","5PREMIUM",6
"GCM","BroadTouch Business Communicator Desktop",2
"Lideres_SIO","BroadTouch Business Communicator Mobile - Video",37
"AMX_Ent_2414026_CUAD","3STANDARD",16
"Gayosso","2BUSINESSLINE",598
"Cometra","Collaborate",15
"Cometra","1BASE",15
"PGJ_MICH","5PREMIUM",39
"GVM","4PERSONALMOBILITY",2
"SPA","5PREMIUM",143
"EME","Messaging",12
"KAA","3STANDARD",7
"Cometra","5PREMIUM",15
"CGT","Integrated IMP",4
"PGJ_MICH","4PERSONALMOBILITY",37
"Bufete_RM","5PREMIUM",39
"Fundacion_TELMEX","4PERSONALMOBILITY",5
"DMH","3STANDARD",59
"Euroelectrica","Messaging",36
"DMH","5PREMIUM",43
"PROVIDENT","2BUSINESSLINE",1006
"Bufete_RM","4PERSONALMOBILITY",38
"bsft","Collaborate",7
"Financiera_Ayudamos","2BUSINESSLINE",12
"LALA","BroadTouch Business Communicator Desktop",1
"CGT","4PERSONALMOBILITY",12
"CFE","Messaging",40
"CGT","1BASE",26
"Bufete_RM","BroadTouch MobileLink",37
"CGT","BroadTouch Business Communicator Tablet - Video",4
"Lideres_SIO","Messaging",20
"Fundacion_Carlos_Slim","5PREMIUM",10
"DMH","Collaborate",2
"Fidere_III","Collaborate",6
"CGT","2BUSINESSLINE",26
"Municipio_de_Jerez","Integrated IMP",10
"IEEG","2BUSINESSLINE",196
"CFE","Collaborate",40
"DMHS","2BUSINESSLINE",238
"CEM","Messaging",259
"DMH","2BUSINESSLINE",344
"Modatelas","1BASE",363
"bsft","4PERSONALMOBILITY",14
"DMHS","BroadTouch Business Communicator Tablet - Video",12
"Troncal_IP","Collaborate",3
"CFE","2BUSINESSLINE",40
"DMH","Integrated IMP",42
"CECOBAN","Messaging",62
"Super_Q","2BUSINESSLINE",57
"Modatelas","5PREMIUM",53
"Super_Q","5PREMIUM",14
"CGT","3STANDARD",26
"Lideres_SIO","5PREMIUM",41
"Operadora Romano","4PERSONALMOBILITY",70
"CGT","Collaborate",4
"CEM","BroadTouch Business Communicator Desktop - Video",259
"Fidere_III","2BUSINESSLINE",60
"Bufete_RM","BroadTouch Business Communicator Desktop - Video",37
"CEM","BroadTouch Business Communicator Mobile - Video",259
"Fidere_III","BroadTouch Business Communicator Mobile - Video",6
"Multiservicios_Nieto","BroadTouch Business Communicator Tablet - Video",6
"Licenciamiento","Messaging",2
"CFE","BroadTouch Business Communicator Mobile - Video",40
"FCI_Administradora","2BUSINESSLINE",15
"LALA","Messaging",2412
"FOVISEC","5PREMIUM",3
"Licenciamiento","2BUSINESSLINE",7
"ATP_Flecha_Roja","BroadTouch Business Communicator Mobile - Video",6
"GVE","Integrated IMP",2
"APA","4PERSONALMOBILITY",2
"Audioconferencias_Telmex","BroadTouch Business Communicator Desktop - Video",2
"ATP_Flecha_Roja","5PREMIUM",8
"Fundacion_TELMEX","2BUSINESSLINE",57
"CEM","1BASE",259
"CFE","5PREMIUM",40
"Instituto_Salvatierra","2BUSINESSLINE",33
"PROVIDENT","1BASE",1006
"Famosa","1BASE",560
"NSJPBCS","Integrated IMP",4
"Financiera_Ayudamos","Messaging",12
"NSJPBCS","Collaborate",4
"GFC","BroadTouch Business Communicator Tablet - Video",6
"SPA","Collaborate",2
"Nuestra_Caja","1BASE",87
"Instituto_Salvatierra","Messaging",11
"Bufete_RM","BroadTouch Business Communicator Tablet - Video",37
"Jugos_del_Valle","BroadTouch Business Communicator Desktop - Video",7
"Fidere_III","3STANDARD",15
"GVM","5PREMIUM",2
"Bufete_RM","2BUSINESSLINE",37
"ATP_Flecha_Roja","2BUSINESSLINE",21
"PROVIDENT","BroadTouch Business Communicator Desktop - Video",4
"CEM","BroadTouch Business Communicator Tablet - Video",259
"Diageo","4PERSONALMOBILITY",18
"CFE","1BASE",40
"VSF","BroadTouch Business Communicator Tablet - Video",9
"ATP_Flecha_Roja","BroadTouch Business Communicator Desktop - Video",6
"BIMBO","1BASE",610
"Dextra_TECH","2BUSINESSLINE",125
"GVE","2BUSINESSLINE",281
"Jugos_del_Valle","5PREMIUM",7
"Lideres_SIO","3STANDARD",41
"DMH","BroadTouch Business Communicator Mobile - Video",42
"SESAJ","BroadTouch Business Communicator Tablet - Video",27
"ATP_Flecha_Roja","Messaging",6
"CCA","BroadTouch Business Communicator Desktop - Video",119
"VSF","2BUSINESSLINE",14
"ATP_Flecha_Roja","1BASE",21
"H_TSJET","BroadTouch Business Communicator Mobile - Video",10
"Telmex","5PREMIUM",2512
"Famosa","BroadTouch Business Communicator Desktop - Video",34
"CGT","BroadTouch Business Communicator Mobile - Video",4
"Instituto_Salvatierra","BroadTouch Business Communicator Mobile - Video",11
"CECOBAN","BroadTouch Business Communicator Desktop - Video",60
"ATP_Flecha_Roja","BroadTouch Business Communicator Tablet - Video",6
"Euroelectrica","1BASE",67
"Audioconferencias_Telmex","BroadTouch Business Communicator Mobile - Video",2
"SPE","Messaging",141
"SESAJ","5PREMIUM",33
"Audioconferencias_Telmex","5PREMIUM",5
"GDF","Collaborate",9
"Fundacion_Carlos_Slim","1BASE",10
"Generadora_Fenix","BroadTouch Business Communicator Desktop - Video",14
"HCDG","5PREMIUM",475
"Vsys","CallCenterSupervisor",2
"ATP_Flecha_Roja","3STANDARD",21
"Fundacion_Carlos_Slim","4PERSONALMOBILITY",8
"Operadora Romano","Collaborate",22
"ATP_Flecha_Roja","4PERSONALMOBILITY",12
"fiscaliatabasco","Messaging",98
"Cometra","BroadTouch Business Communicator Desktop - Video",15
"LALA","3STANDARD",2743
"Modatelas","BroadTouch Business Communicator Mobile - Video",198
"IEEG","3STANDARD",45
"Bufete_RM","BroadTouch Business Communicator Mobile - Video",37
"GFC","2BUSINESSLINE",26
"JEC","5PREMIUM",11
"JEC","BroadTouch Business Communicator Tablet - Video",10
"ASLO","2BUSINESSLINE",1
"BIMBO","BroadTouch Business Communicator Mobile - Video",11
"SPA","BroadTouch Business Communicator Mobile - Video",3
"ATP_Flecha_Roja","Integrated IMP",6
"CPM","1BASE",250
