"Empresa","CSP","Qty"
"Modatelas","Call Center - Premium",4
"Troncal_IP","BroadTouch Business Communicator Desktop - Video",3
"Troncal_IP","4PERSONALMOBILITY",3
"GVE","Collaborate",2
"bsft","3STANDARD",20
"UANE","2BUSINESSLINE",35
"UANE","5PREMIUM",12
"UANE","BroadTouch Business Communicator Tablet - Video",12
"GDF","5PREMIUM",55
"PROVIDENT","BroadTouch Business Communicator Mobile - Video",2
"MTBM","BroadTouch Business Communicator Mobile - Video",33
"UANE","BroadTouch Business Communicator Desktop - Video",12
"UANE","Collaborate",12
"Financiera_Ayudamos","3STANDARD",3
"fiscaliatabasco","4PERSONALMOBILITY",101
"Nuestra_Caja","4PERSONALMOBILITY",2
"CAO-TELMEX","3STANDARD",51
"UANE","Integrated IMP",12
"SESESP","BroadTouch Business Communicator Desktop - Video",50
"Hospital_Santander","BroadTouch Business Communicator Desktop - Video",12
"Vsys","3STANDARD",267
"AMX_Contenido","5PREMIUM",14
"Vsys","BroadTouch Business Communicator Desktop",4
"BIMBO","2BUSINESSLINE",610
"Vsys","BroadTouch Business Communicator Desktop - Audio",3
"Vsys","BroadTouch Business Communicator Tablet",6
"Super_Q","BroadTouch Business Communicator Desktop - Video",11
"Vsys","BroadTouch Business Communicator Tablet - Audio",6
"CPM","BroadTouch Business Communicator Desktop - Video",250
"Vsys","CallCenterAgent",7
"Vsys","BroadWorks Mobility",10
"Vsys","Call Center - Basic",12
"Vsys","Call Center - Standard",12
"Vsys","Call Recording",10
"Vsys","BroadTouch Business Communicator Desktop - Video",202
"Vsys","BroadTouch MobileLink",16
"LandIT","BroadTouch Business Communicator Mobile - Video",87
"Vsys","Collaborate",207
"bsft","BroadTouch Business Communicator Mobile - Video",12
"Vsys","Enhanced Call Logs",21
"Hospital_Santander","Messaging",127
"Vsys","Integrated IMP",205
"GFC","3STANDARD",26
"Vsys","Video Add-On",8
"Vsys","BroadWorks Receptionist - Small Business",2
"fiscaliatabasco","1BASE",489
"fiscaliatabasco","2BUSINESSLINE",490
"Telmex","Messaging",1896
"AMX_Contenido","BroadTouch Business Communicator Desktop - Video",5
"AMX_Ent_2414026_CUAD","1BASE",17
"SPA","BroadTouch Business Communicator Desktop - Video",134
"fiscaliatabasco","BroadTouch Business Communicator Mobile - Video",24
"fiscaliatabasco","BroadTouch Business Communicator Desktop - Video",33
"Super_Q","BroadTouch Business Communicator Tablet - Video",11
"Telmex","Integrated IMP",1886
"MTBM","BroadTouch Business Communicator Desktop - Video",11
"fiscaliatabasco","Integrated IMP",24
"NSJPBCS","BroadTouch Business Communicator Mobile - Video",4
"Audioconferencias_Telmex","2BUSINESSLINE",1
"JEC","2BUSINESSLINE",40
"Municipio_de_Jerez","1BASE",30
"EAP","3STANDARD",70
"EAP","1BASE",70
"VSF","3STANDARD",14
"VSF","5PREMIUM",9
"VSF","BroadTouch Business Communicator Desktop - Video",9
"VSF","Collaborate",9
"VSF","Integrated IMP",9
"Euro_Alarmas","3STANDARD",17
"VSF","Messaging",9
"AMX_Ent_2414026_CUAD","Collaborate",16
"bsft","Messaging",14
"EAP","BroadTouch Business Communicator Desktop - Video",9
"CCA","BroadTouch Business Communicator Tablet - Video",13
"Nuestra_Caja","5PREMIUM",5
"bsft","5PREMIUM",13
"Euro_Alarmas","4PERSONALMOBILITY",5
"Cometra","Integrated IMP",15
"bsft","BroadTouch Business Communicator Tablet - Video",12
"VSF","1BASE",14
"bsft","BroadTouch Business Communicator Desktop - Video",12
"bsft","Integrated IMP",9
"MTBM","5PREMIUM",33
"MTBM","3STANDARD",79
"MTBM","BroadTouch Business Communicator Tablet - Video",10
"MTBM","4PERSONALMOBILITY",36
"Contingencia","2BUSINESSLINE",70
"MTBM","Messaging",10
"LandIT","5PREMIUM",516
"LandIT","1BASE",524
"Instituto_Salvatierra","1BASE",33
"Generadora_Fenix","BroadTouch Business Communicator Tablet - Video",14
"LandIT","BroadTouch Business Communicator Tablet - Video",87
"GVE","5PREMIUM",74
"LandIT","Collaborate",87
"LandIT","Messaging",133
"Multiservicios_Nieto","3STANDARD",24
"EAP","2BUSINESSLINE",70
"Multiservicios_Nieto","1BASE",24
"Multiservicios_Nieto","2BUSINESSLINE",24
"Multiservicios_Nieto","4PERSONALMOBILITY",7
"Multiservicios_Nieto","BroadTouch Business Communicator Desktop - Video",6
"LALA","Collaborate",2425
"Multiservicios_Nieto","Collaborate",6
"Multiservicios_Nieto","Messaging",6
"AMX_Contenido","4PERSONALMOBILITY",14
"GCM","4PERSONALMOBILITY",22
"Gayosso","Collaborate",43
"AMX_Contenido","Integrated IMP",5
"DURAPLAY","2BUSINESSLINE",24
"EME","1BASE",51
"Nuestra_Caja","Integrated IMP",2
"AMX_Contenido","Messaging",5
"AMX_Ent_2414026_CUAD","5PREMIUM",18
"AMX_Ent_2414026_CUAD","4PERSONALMOBILITY",16
"AMX_Ent_2414026_CUAD","2BUSINESSLINE",16
"AMX_Ent_2414026_CUAD","Calling Line ID Blocking Override",16
"PROVIDENT","4PERSONALMOBILITY",201
"AMX_Ent_2414026_CUAD","BroadTouch Business Communicator Desktop - Video",16
"AMX_Ent_2414026_CUAD","Messaging",16
"Vsys","Number Portability Announcement",8
"BIMBO","Integrated IMP",11
"BIMBO","3STANDARD",485
"EAP","Messaging",70
"BIMBO","BroadTouch Business Communicator Desktop - Video",464
"Operadora Romano","Messaging",160
"BIMBO","5PREMIUM",35
"BIMBO","4PERSONALMOBILITY",37
"BIMBO","Collaborate",11
"BIMBO","Messaging",11
"Nuestra_Caja","2BUSINESSLINE",87
"Nuestra_Caja","BroadTouch Business Communicator Mobile - Video",2
"SESAJ","2BUSINESSLINE",44
"SODEXO","BroadTouch Business Communicator Mobile - Video",48
"SESAJ","BroadTouch Business Communicator Mobile - Video",27
"SESAJ","BroadTouch Business Communicator Desktop - Video",27
"SODEXO","3STANDARD",48
"SESAJ","Collaborate",27
"Instituto_Planeacion_Nayarit","BroadTouch Business Communicator Desktop - Video",17
"SESAJ","Integrated IMP",27
"SODEXO","BroadTouch Business Communicator Desktop - Video",1
"CCA","3STANDARD",145
"CCA","1BASE",145
"CCA","2BUSINESSLINE",145
"CCA","Messaging",13
"Instituto_Salvatierra","BroadWorks Receptionist - Enterprise",1
"Euro_Alarmas","1BASE",27
"Euro_Alarmas","5PREMIUM",5
"Fundacion_TELMEX","Messaging",55
"PROVIDENT","5PREMIUM",201
"Jugos_del_Valle","1BASE",44
"Jugos_del_Valle","2BUSINESSLINE",44
"Jugos_del_Valle","BroadTouch Business Communicator Mobile - Video",7
"LandIT","2BUSINESSLINE",524
"Jugos_del_Valle","Collaborate",7
"CFE","4PERSONALMOBILITY",40
"CAO-TELMEX","BroadTouch Business Communicator Tablet - Video",51
"Generadora_Fenix","2BUSINESSLINE",93
"Generadora_Fenix","BroadTouch Business Communicator Mobile - Video",14
"Generadora_Fenix","Integrated IMP",14
"APA","2BUSINESSLINE",104
"CPM","2BUSINESSLINE",250
"Contingencia","1BASE",70
"Contingencia","BroadTouch Business Communicator Desktop - Video",70
"Contingencia","4PERSONALMOBILITY",71
"Euro_Alarmas","BroadTouch Business Communicator Desktop - Video",1
"Contingencia","Collaborate",2
"CAO-TELMEX","5PREMIUM",51
"CAO-TELMEX","1BASE",51
"CAO-TELMEX","4PERSONALMOBILITY",51
"CECOBAN","Collaborate",60
"CAO-TELMEX","2BUSINESSLINE",51
"CAO-TELMEX","BroadTouch Business Communicator Mobile - Video",51
"Vsys","Assistant-Enterprise",10
"CAO-TELMEX","Messaging",51
"STM","1BASE",36
"SPA","Integrated IMP",2
"Hospital_Santander","1BASE",127
"AMX_Contenido","BroadTouch Business Communicator Tablet - Video",5
"Municipio_de_Jerez","2BUSINESSLINE",30
"Municipio_de_Jerez","Messaging",10
"Hospital_Santander","5PREMIUM",12
"Hospital_Santander","3STANDARD",12
"Hospital_Santander","BroadTouch Business Communicator Mobile - Video",12
"DMHS","Integrated IMP",12
"Fidere_III","BroadTouch Business Communicator Desktop - Video",7
"FGE","5PREMIUM",49
