"clientName","serviceProviderId","rfc","siteName","siteNumber","groupId","groupName","tecnologia"
"MODATELAS","Modatelas","MOD041014KI3","VERACRUZ",71467500,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TUXTEPEC",71467499,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CORDOBA",71467498,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PACHUCA",71467497,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","POZARICA",71467496,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ORIZABA",71467495,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACATECAS",71467494,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","RIOGRANDE",71467493,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TESISTAN",71467492,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AGUASCALIENTESVI",71467491,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CALVILLO",71467490,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AGUASCALIENTESV",71467489,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AMECAJALISCO",71467488,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ELSALTOJALISCO",71467487,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALUPEZACATECAS",71467486,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALAJARAVII",71467485,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AGUASCALIENTESIV",71467484,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALAJARAV",71467483,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZAPOPAN",71467482,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDGUZMAN",71467481,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASYTEPIC",71467480,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PUERTOVALLARTA",71467479,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","NUEVOVALLARTA",71467478,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TLAJOMULCO",71467477,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASY2 AGS",71467476,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TLAQUEPAQUE",71467475,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TECOMAN",71467474,,,"CUAD-BROADSOFT"
