"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A07180287",327541,71721618,"SAN MIGUEL DE ALLENDE","Implementación","Activo","UNC.CUAD.904.1.4",33279204,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180287",327541,71721618,"SAN MIGUEL DE ALLENDE","Implementación","Activo","UNC.CUAD.907.1",33279243,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180287",327541,71721618,"SAN MIGUEL DE ALLENDE","Implementación","Activo","UNC.CUAD.911.1.1",33279245,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180279",327538,71719178,"PALMAS HILL INTERLOMAS","Implementación","Activo","UNC.CUAD.901.1",33279100,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180279",327538,71719178,"PALMAS HILL INTERLOMAS","Implementación","Activo","UNC.CUAD.904.1.4",33279114,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180279",327538,71719178,"PALMAS HILL INTERLOMAS","Implementación","Activo","UNC.CUAD.907.1",33279154,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180279",327538,71719178,"PALMAS HILL INTERLOMAS","Implementación","Activo","UNC.CUAD.911.1.1",33279153,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181613",324966,71736760,"PASEO QUERETARO","Implementación","Activo","UNC.CUAD.901.1",33204952,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181613",324966,71736760,"PASEO QUERETARO","Implementación","Activo","UNC.CUAD.911.1.1",33205007,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181613",324966,71736760,"PASEO QUERETARO","Implementación","Activo","UNC.CUAD.904.1.4",33204966,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181613",324966,71736760,"PASEO QUERETARO","Implementación","Activo","UNC.CUAD.907.1",33205005,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181596",324946,71736558,"EXPLANADA PUEBLA","Implementación","Activo","UNC.CUAD.911.1.1",33204605,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181596",324946,71736558,"EXPLANADA PUEBLA","Implementación","Activo","UNC.CUAD.904.1.4",33204627,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181596",324946,71736558,"EXPLANADA PUEBLA","Implementación","Activo","UNC.CUAD.901.1",33204613,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181596",324946,71736558,"EXPLANADA PUEBLA","Implementación","Activo","UNC.CUAD.907.1",33204606,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05181452",320397,71725437,"URBAN CENTER MÉRIDA YUCATAN","Planeación","Activo","UNC.CUAD.901.1",33117849,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05181452",320397,71725437,"URBAN CENTER MÉRIDA YUCATAN","Planeación","Activo","UNC.CUAD.911.1",33117863,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
