"folio","siteNumber","siteName","phase","clientName","sku","partId","qty","qtyFac"
"A04196583",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35094892,9,"[]"
"A04196583",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35094959,9,"[]"
"A04196583",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35094961,9,"[]"
"A04196298",71386811,"SOFIMEX CUERNAVACA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",35059757,1,"[]"
"A04196289",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",35059623,1,"[]"
"A04195999",71340359,"AXA DORAMA TRIARA QUERETARO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",35048968,3,"[]"
"A03193543",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34458142,5,"[]"
"A03193543",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34458631,5,"[]"
"A03193543",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34458670,5,"[]"
"A03193543",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34458672,5,"[]"
"A03193539",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34455539,8,"[]"
"A03193539",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34456319,8,"[]"
"A03193539",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34456323,8,"[]"
"A03193539",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34456321,8,"[]"
"A03193506",71432170,"FIANZAS DORAMA LEON NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",34451796,1,"[]"
"A03192076",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",34433009,1,"[]"
"A03191682",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34374851,8,"[]"
"A03191682",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34374911,8,"[]"
"A03191682",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34375693,8,"[]"
"A03191682",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34375691,8,"[]"
"A03190029",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34372680,1,"[]"
"A03190029",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34372790,1,"[]"
"A03190029",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34372788,1,"[]"
"A03190029",70228711,"SOFIMEX CD JUAREZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1.1",34372781,1,"[]"
"A03190028",70228707,"SOFIMEX CHIHUAHUA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34372044,6,"[]"
"A03190028",70228707,"SOFIMEX CHIHUAHUA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34372678,6,"[]"
"A03190028",70228707,"SOFIMEX CHIHUAHUA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34372630,6,"[]"
"A03190028",70228707,"SOFIMEX CHIHUAHUA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34372676,6,"[]"
"A03190013",70228705,"SOFIMEX SATELITE","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34371408,6,"[]"
"A03190013",70228705,"SOFIMEX SATELITE","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34372040,6,"[]"
"A03190013",70228705,"SOFIMEX SATELITE","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34372042,6,"[]"
"A03190013",70228705,"SOFIMEX SATELITE","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34371994,6,"[]"
"A03190019",70221749,"SOFIMEX SUC QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",34371365,5,"[]"
"A03190019",70221749,"SOFIMEX SUC QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",34371404,5,"[]"
"A03190019",70221749,"SOFIMEX SUC QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34370876,5,"[]"
"A03190019",70221749,"SOFIMEX SUC QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",34371406,5,"[]"
"A02190492",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34265236,1,"[3,1]"
"A02190491",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",34264267,8,"[3]"
"A10181588",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.V9.4",33649134,1,"[1]"
"A10181434",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.",,,,"[]"
"A09181117",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",33573652,1,"[1]"
"A01190987",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",33557646,3,"[3]"
"A08180519",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",33397815,1,"[1]"
"A05181413",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",33114964,1,"[1]"
"A12171940",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",32474510,1,"[1]"
"A12171936",71640442,"STPI HERMOSILLO SONORA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",32473959,1,"[]"
"A12171941",71287600,"SOFIMEX VERAPAZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",32473859,1,"[]"
"A10160036",71547310,"DORAMA CUERNAVACA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.V9.4",30490119,1,"[]"
"A08160345",71547256,"DORAMA HERMOSILLO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.V9.4",30490025,1,"[]"
"A08160304",71547275,"DORAMA TAMPICO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30486393,1,"[1]"
"A08160235",71451044,"LAS AGUILAS","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30474279,1,"[]"
"A07160269",71344377,"FIANZAS DORAMA CD DEL CARMEN","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30386677,1,"[]"
"A07160191",71451044,"LAS AGUILAS","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30330754,2,"[]"
"A07160190",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30330835,2,"[]"
"A03170357",71451044,"LAS AGUILAS","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",30329991,2,"[]"
"A10190025",71706677,"SPTI MURILLO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36338571,1,"[]"
"A10190030",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36349046,6,"[]"
"A10190033",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36347684,9,"[]"
