"status","cliente","servicio","tags","phase"
"Activo","CFE","CUAD-BROADSOFT",,"Planeación-Implementación"
"Activo","CARSO EFICENTRUM, S.A. DE C.V.","CUAD-BROADSOFT","[""telmex""]","Implementación"
"Cancelado","GEO MORELOS S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Cancelado","GEO EDIFICACIONES, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","CLARO PAGOS S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","MULTISERVICIOS NIETO S.A. DE C.V. A.B.P.","CUAD-BROADSOFT",,"Planeación-Implementación-Desconocido"
"Activo","TERMINAL INTERMODAL LOGISTICA DE HIDALGO, S.A.P.I. DE C.V.","CUAD-CISCO","[""tilh""]","Operativo"
"Activo","COMITE OLIMPICO MEXICANO, A.C.","CUAD-CISCO","[""com""]","Operativo"
"Activo","INVERSORA BURSATIL,S.A DE C.V. CASA DE BOLSA GRUPO FINANCIERO INBURSA","CUAD-CISCO",,"Planeación"
"Cancelado","GRUPO GAYOSSO","CUAD-CISCO",,"Desconocido"
"Activo","SERVICIOS LIVERPOOL, S.A. DE C.V.","CUAD-CISCO",,"Planeación-Operativo-Desconocido"
"Activo","GRUPO VALE EURO RSCG, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Activo","CLARO ENTERPRISE SOLUTIONS, LLC","CUAD-AVAYA",,"Nuevo"
"Activo","JUNTA ESTATAL DE CAMINOS","CUAD-BROADSOFT",,"Planeación-Implementación"
"Activo","DISTRIBUIDORA FUVA DE PARRAL, S.A. DE C.V.","CUAD-BROADSOFT",,"Desconocido"
"Activo","CROWN ENVASES MEXICO, S.A. DE C.V.","CUAD-BROADSOFT","[""famosa""]","Nuevo-Operativo"
"Activo","NUESTRA CAJA S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Planeación-Implementación-Operativo"
"Activo","SEARS","CUAD-BROADSOFT",,"Nuevo"
"Activo","PROMOTORA DEL DESARROLLO DE AMERICA LATINA, S.A. DE C.V.","CUAD-AVAYA","[""ideal""]","Nuevo"
"Activo","FIANZAS DORAMA, S. A.","CUAD-CISCO",,"Planeación-Implementación-Operativo-Desconocido"
"Activo","SERVICIOS LIVERPOOL, S.A. DE C.V.","CUAD-AVAYA",,"Planeación"
"Cancelado","CAJA POPULAR MEXICANA","CUAD-BROADSOFT","[""capome""]","Desconocido"
"Activo","PROVIDENT MEXICO S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","SERVICIOS DE COBRANZA, RECUPERACION Y SEGUIMIENTO","CUAD-BROADSOFT",,"Planeación"
"Activo","BANCO SABADELL, S.A., INSTITUCION DE BANCA MULTIPLE","CUAD-AVAYA",,"Nuevo"
"Activo","UNIVERSIDAD AUTONOMA DEL NORESTE","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Activo","COMPLEJO INDUSTRIAL FUENTES S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","MUNICIPIO DEL CENTRO","CUAD-CISCO","[""get""]","Operativo-Desconocido"
"Cancelado","FCI ADMINISTRADORA S.C","CUAD-BROADSOFT",,"Operativo"
"Activo","SENA AUTOMOTRIZ, S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Activo","CROWN FAMOSA S.A. DE C.V.","CUAD-BROADSOFT","[""famosa""]","Operativo"
"Activo","BBVA BANCOMER","CUAD-AVAYA",,"Nuevo-Operativo-Desconocido"
"Activo","CORPORACION DE ENERGIA MEXOIL SAPI DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","UNIVEX, S.A.","CUAD-AVAYA",,"Planeación"
"Activo","SAT FM","CUAD-CISCO",,"Operativo"
"Activo","GOLFO MOTRIZ S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación-Operativo-Desconocido"
"Activo","DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO, S.A. DE C.V.","CUAD-CISCO","[""dimesa""]","Operativo"
"Activo","FLETES Y TRANSPORTES RUIZ, S.A. DE C.V.","CUAD-AVAYA",,"Nuevo-Implementación-Desconocido"
"Activo","TPS","CUAD-BROADSOFT",,"Planeación"
"Cancelado","GEO VERACRUZ","CUAD-CISCO",,"Desconocido"
"Activo","FUNDACION TELMEX, A.C.","CUAD-BROADSOFT",,"Operativo"
"Activo","BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS SNC","CUAD-CISCO","[""bansefi""]","Nuevo-Planeación-Operativo-Desconocido"
"Activo","MAPFRE TEPEYAC, S.A.","CUAD-CISCO",,"Planeación-Operativo"
"Activo","SUPER Q S.A. DE C.V.","CUAD-BROADSOFT",,"Operativo"
"Activo","ELAI,SC","CUAD-AVAYA",,"Desconocido"
"Activo","GAS COMERCIAL DE CUAUHTEMOC SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","DEMONSA S.A. DE C.V.","CUAD-CISCO",,"Planeación-Operativo"
"Activo","SURESTE MOTRIZ, SA DE CV","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Activo","GRUPO CUAUHTEMOC MOCTEZUMA S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Planeación-Implementación-Operativo"
"Activo","PRESERTE S.A. DE C.V.","CUAD-BROADSOFT",,"Planeación"
"Activo","FISCALIA GENERAL DEL ESTADO DE TABASCO","CUAD-BROADSOFT",,"Planeación-Operativo-Desconocido"
"Cancelado","GEO BAJA CALIFORNIA, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","CERVEZA CORONA EN AGUASCALIENTES","CUAD-BROADSOFT",,"Nuevo-Planeación"
"Cancelado","CENTRO REGIONAL DE EDUCACION NORMAL LIC JAVIER ROJO GOMEZ","CUAD-CISCO",,"Desconocido"
"Activo","AUTOMOTORES DE CIUDAD DEL CARMEN, S.A. DE C.V.","CUAD-CISCO",,"Operativo"
"Activo","BUFETE ROBLES MIAJA S.V.","CUAD-BROADSOFT",,"Operativo"
"Activo","MODATELAS, S.A. DE C.V.","CUAD-BROADSOFT",,"Planeación-Implementación-Operativo"
"Activo","MAGNA POWERTRAIN DE MEXICO, S.A. DE C.V.","CUAD-CISCO",,"Implementación-Operativo"
"Activo","ATLATEC, S.A. DE C.V.","CUAD-AVAYA",,"Desconocido"
"Cancelado","IMSS","CUAD-BROADSOFT",,"Implementación-Desconocido"
"Activo","TIENDAS EXTRA, S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación-Operativo-Desconocido"
"Activo","UNIVERSIDAD TECNOLOGICA DE MATAMOROS","CUAD-BROADSOFT",,"Planeación-Desconocido"
"Activo","FABRICAS MONTERREY, SA DE CV","CUAD-BROADSOFT","[""famosa""]","Operativo-Desconocido"
"Activo","JAPAY, S.A. DE C.V.","CUAD-CISCO",,"Operativo"
"Cancelado","GEO TAMAULIPAS, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","CAJA INMACULADA, S.C. DE A.P. DE R.L. DE C.V.","CUAD-BROADSOFT",,"Planeación-Desconocido"
"Activo","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-AVAYA",,"Nuevo-Desconocido"
"Activo","SECRETARIA DE FINANZAS DEL GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR","CUAD-BROADSOFT",,"Implementación-Operativo-Desconocido"
"Activo","CONTECON MANZANILLO S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Cancelado","GEO GUERRERO, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","COMETRA","CUAD-BROADSOFT",,"Implementación"
"Activo","CIBANCO, S.A","CUAD-CISCO",,"Nuevo-Implementación-Operativo"
"Activo","LIDERES EN SERVICIOS INTEGRALES DE OCCIDENTE","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Activo","VECTOR CASA DE BOLSA S.A. DE C.V","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Activo","AFORE SURA, S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","ZURICH VIDA COMPAÑIA DE SEGUROS S.A.","CUAD-CISCO",,"Planeación-Implementación-Operativo"
"Activo","INTERJET","CUAD-CISCO",,"Planeación"
"Activo","COMPUTING AND PRINTING MEXICO S. DE R.L. DE C.V","CUAD-BROADSOFT",,"Implementación-Desconocido"
"Activo","OCESA","CUAD-AVAYA",,"Operativo"
"Activo","FABRICAS DE CALZADO ANDREA S.A DE C.V.","CUAD-CISCO",,"Operativo-Desconocido"
"Activo","ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.","CUAD-CISCO","[""sección amarilla""]","Planeación-Implementación-Operativo-Desconocido"
"Activo","CIBANCO, S.A INSTITUCION DE BANCA MULTIPLE","CUAD-CISCO",,"Nuevo-Planeación-Implementación-Operativo-Desconocido"
"Activo","BANCO MERCANTIL DEL NORTE, S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO B","CUAD-AVAYA",,"Nuevo"
"Activo","DURAPLAY DE PARRAL S.A.P.I DE C.V.","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Cancelado","GEO HOGARES IDEALES, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","GOBIERNO DEL ESTADO DE CAMPECHE","CUAD-CISCO","[""gec""]","Planeación-Implementación-Operativo"
"Activo","MAYA MOTRIZ, S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Cancelado","ICA FLUOR DANIEL","CUAD-AVAYA",,"Planeación-Implementación"
"Activo","GOBIERNO DEL DISTRITO FEDERAL","CUAD-CISCO","[""sedeco""]","Operativo-Desconocido"
"Cancelado","BARCEL, S.A. DE C.V.","CUAD-BROADSOFT",,"Desconocido"
"Activo","GAS COMERCIAL DE CHIHUAHUA SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","ALQUILADORA DE VEHICULOS AUTOMOTORES","CUAD-CISCO","[""hertz""]","Nuevo-Planeación-Operativo-Desconocido"
"Activo","CLARO ENTERPRISE SOLUTIONS, LLC.","CUAD-CISCO","[""bupa""]","Nuevo"
"Activo","INTELISIS SOFTWARE S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","SERVICIOS PARA TI S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación-Operativo-Desconocido"
"Activo","CORPORATIVO GRUPO TOLUCA S A","CUAD-BROADSOFT",,"Operativo"
"Cancelado","GEO CASAS DEL BAJIO, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","INTERJET","CUAD-AVAYA",,"Nuevo"
"Activo","VISION SOFTWARE FACTORY, S.A. DE C.V.","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Activo","AUTOTRANSPORTES ESTRELLA ROJA DEL SUR S.A DE C.V","CUAD-CISCO","[""aers""]","Operativo-Desconocido"
"Cancelado","GEO NORESTE, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","OPERADORA ROMANO S.C.","CUAD-BROADSOFT",,"Planeación-Operativo-Desconocido"
"Cancelado","FINANCIERA AYUDAMOS, S.A. DE C.V. SOFOM ER","CUAD-BROADSOFT",,"Desconocido"
"Activo","PROMOTORA DEL DESARROLLO DE AMERICA LATINA, S.A. DE C.V.","CUAD-CISCO","[""ideal""]","Nuevo-Implementación-Operativo"
"Activo","SERVICIO Y CONTROL EMPRESARIAL S.A. DE C.V.","CUAD-CISCO","[""gpomex""]","Operativo"
"Cancelado","GEO PUEBLA, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","BANCO MERCANTIL DEL NORTE, S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO B","CUAD-CISCO",,"Nuevo"
"Activo","MUNICIPIO DE BENITO JUAREZ","CUAD-CISCO","[""mbj""]","Operativo-Desconocido"
"Activo","PODER EJECUTIVO DEL ESTADO DE CAMPECHE","CUAD-CISCO",,"Nuevo"
"Activo","AMX CONTENIDO SA DE CV","CUAD-CISCO",,"Planeación"
"Activo","INSTITUTO DE PLANEACION DEL ESTADO DE NAYARIT","CUAD-BROADSOFT",,"Desconocido"
"Activo","SERVITE, S.A. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","AUTOMOTORES DE QUINTANA ROO S.A. DE C.V.","CUAD-CISCO",,"Operativo-Desconocido"
"Activo","AUTOS I4 S.A DE C.V","CUAD-CISCO",,"Nuevo-Operativo-Desconocido"
"Activo","ENERGIA LIMPIA DE PALO ALTO S. DE R.L. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","DOMINICA ENERGIA LIMPIA S. DE R.L. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","STIPA NAYAA S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","FARMACOS ESPECIALIZADOS SA CV","CUAD-AVAYA",,"Nuevo"
"Activo","ESENCIA MOTRIZ S.A. P.DE I. DE C.V.","CUAD-CISCO",,"Nuevo-Operativo"
