"folio","servicio"
"A04196313","CUAD-BBVA-CISCO"
"A11190552","CUAD-CISCO"
"A07190882","CUAD-BBVA-CISCO"
"A04196312","CUAD-BBVA-CISCO"
"A05130228","CUAD-CISCO"
"A02191277","CUAD-BBVA-CISCO"
"A07180479","CUAD-BBVA-CISCO"
"A06200565","CUAD-CISCO"
"A09181135","CUAD-BBVA-CISCO"
"A11190610","CUAD-CISCO"
"A05191142","CUAD-BBVA-CISCO"
"A05191135","CUAD-BBVA-CISCO"
"A06180729","CUAD-BBVA-CISCO"
"A06181629","CUAD-BBVA-CISCO"
"A11130096","CUAD-BBVA-CISCO"
"A07191088","CUAD-EDIFICIOS-AVAYA"
"A08190241","CUAD-EDIFICIOS-AVAYA"
"A08191126","CUAD-EDIFICIOS-AVAYA"
"A01200938","CUAD-EDIFICIOS-AVAYA"
"A01200881","CUAD-EDIFICIOS-AVAYA"
"A01200931","CUAD-EDIFICIOS-AVAYA"
"A01200146","CUAD-EDIFICIOS-AVAYA"
"A08180203","CUAD-BBVA-CISCO"
"A01200884","CUAD-EDIFICIOS-AVAYA"
"A08190250","CUAD-EDIFICIOS-AVAYA"
"A08191128","CUAD-EDIFICIOS-AVAYA"
"A08191129","CUAD-EDIFICIOS-AVAYA"
"A10191186","CUAD-CISCO"
"A07191545","CUAD-BBVA-CISCO"
"A08191141","CUAD-EDIFICIOS-AVAYA"
"A11130090","CUAD-BBVA-CISCO"
"A07190741","CUAD-CISCO"
"A07180483","CUAD-BBVA-CISCO"
"A05192359","CUAD-BROADSOFT"
"A12180273","CUAD-BBVA-CISCO"
"A11190606","CUAD-CISCO"
"A08191135","CUAD-EDIFICIOS-AVAYA"
"A08191499","CUAD-BSFT"
"A12120336","CUAD-BBVA-CISCO"
"A06200619","CUAD-CISCO"
"A12180302","CUAD-BBVA-CISCO"
"A04191128","CUAD-CISCO"
"A11130098","CUAD-BBVA-CISCO"
"A01200893","CUAD-EDIFICIOS-AVAYA"
"A11190379","CUAD-BROADSOFT"
"A08180198","CUAD-BBVA-CISCO"
"A08180606","CUAD-BBVA-CISCO"
"A07191211","CUAD-BBVA-CISCO"
