"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL ALTTUS SAN LUIS POTOSI",,"UNC.CUAD.904.1.4",,33770124,6,0.01,"UNR.CUAD.904.1.4",33770349,36,,"A12180551","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL ALTTUS SAN LUIS POTOSI",,"UNC.CUAD.911.1",,33770122,6,0.01,"UNR.CUAD.911.1",33770123,36,,"A12180551","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL ALTTUS SAN LUIS POTOSI",,"UNC.CUAD.907.1",,33770115,6,0.01,"UNR.CUAD.907.1",33770116,36,,"A12180551","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL AGRONEGOCIO AGUASCALIENTES",,"UNC.CUAD.901.1",,33635396,1,0.01,"UNR.CUAD.901.1",33635409,36,,"A10181344","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.901.1",,33401305,5,0.01,"UNR.CUAD.901.1",33401358,36,,"A08180570","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.907.1",,33401360,5,0.01,"UNR.CUAD.907.1",33401361,36,,"A08180570","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.904.1.4",,33401362,5,0.01,"UNR.CUAD.904.1.4",33401394,36,,"A08180570","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.911.1.1",,33401359,5,0.05,,,36,,"A08180570","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SAN MIGUEL DE ALLENDE",,"UNC.CUAD.901.1",,33279190,1,0.01,"UNR.CUAD.901.1",33279203,36,,"A07180287","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SAN MIGUEL DE ALLENDE",,"UNC.CUAD.904.1.4",,33279204,6,0.01,"UNR.CUAD.904.1.4",33279242,36,,"A07180287","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SAN MIGUEL DE ALLENDE",,"UNC.CUAD.907.1",,33279243,6,0.01,"UNR.CUAD.907.1",33279244,36,,"A07180287","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SAN MIGUEL DE ALLENDE",,"UNC.CUAD.911.1.1",,33279245,6,0.06,,,36,,"A07180287","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PALMAS HILL INTERLOMAS",,"UNC.CUAD.901.1",,33279100,1,0.01,"UNR.CUAD.901.1",33279113,36,,"A07180279","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PALMAS HILL INTERLOMAS",,"UNC.CUAD.904.1.4",,33279114,6,0.01,"UNR.CUAD.904.1.4",33279152,36,,"A07180279","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PALMAS HILL INTERLOMAS",,"UNC.CUAD.907.1",,33279154,6,0.01,"UNR.CUAD.907.1",33279155,36,,"A07180279","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PALMAS HILL INTERLOMAS",,"UNC.CUAD.911.1.1",,33279153,6,0.06,,,36,,"A07180279","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PASEO QUERETARO",,"UNC.CUAD.901.1",,33204952,1,0.01,"UNR.CUAD.901.1",33204965,36,,"A06181613","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PASEO QUERETARO",,"UNC.CUAD.911.1.1",,33205007,6,0.06,,,36,,"A06181613","Implementación"
