"folio","oa","servicio","siteId","alcance","partId","sku"
"A02200106",410110,"CUAD-BROADSOFT",71554795,18,36966550,"UNC.CUAD.BS.901"
"A02200106",410110,"CUAD-BROADSOFT",71554795,1,36966555,"UNC.CUAD.BS.902"
"A02200646",411399,"CUAD-AVAYA",71241173,1,37051030,"UNC.CUAD.AVBA101"
"A01201004",408984,"CUAD-AVAYA",71241183,1,36947102,"UNC.CUAD.AVBA101"
"A01201090",409066,"CUAD-AVAYA",70114207,1,36948036,"UNC.CUAD.AVBA101"
"A02200109",410110,"CUAD-BROADSOFT",71592859,25,36966618,"UNC.CUAD.BS.101"
"A02200109",410110,"CUAD-BROADSOFT",71592859,7,36966620,"UNC.CUAD.BS.104"
"A02200109",410110,"CUAD-BROADSOFT",71592859,2,36966622,"UNC.CUAD.BS.201"
"A02200109",410110,"CUAD-BROADSOFT",71592859,32,36966624,"UNC.CUAD.BS.203"
"A02200109",410110,"CUAD-BROADSOFT",71592859,32,36966626,"UNC.CUAD.BS.901"
"A02200109",410110,"CUAD-BROADSOFT",71592859,1,36966631,"UNC.CUAD.BS.902"
"A02200613",411363,"CUAD-AVAYA",70114303,3,37050780,"UNC.CUAD.AVBA101"
"A01201011",408984,"CUAD-AVAYA",71797814,2,36947128,"UNC.CUAD.AVBA101"
"A01201072",409057,"CUAD-AVAYA",70115155,1,36947955,"UNC.CUAD.AVBA101"
"A01200998",408984,"CUAD-AVAYA",70122036,1,36947086,"UNC.CUAD.AVBA101"
"A01201005",408984,"CUAD-AVAYA",71351117,2,36947108,"UNC.CUAD.AVBA101"
"A01201042",409004,"CUAD-AVAYA",71241161,1,36947317,"UNC.CUAD.AVBA101"
"A01201081",409057,"CUAD-AVAYA",71622587,1,36947979,"UNC.CUAD.AVBA101"
"A01201021",408990,"CUAD-AVAYA",71622588,2,36947199,"UNC.CUAD.AVBA101"
"A01201082",409057,"CUAD-AVAYA",71788367,1,36947989,"UNC.CUAD.AVBA101"
"A01201020",408990,"CUAD-AVAYA",71437016,1,36947193,"UNC.CUAD.AVBA101"
"A01201016",408990,"CUAD-AVAYA",71241097,1,36947179,"UNC.CUAD.AVBA101"
"A01201046",409004,"CUAD-AVAYA",71451013,1,36947331,"UNC.CUAD.AVBA101"
"A01201076",409057,"CUAD-AVAYA",71436281,1,36947967,"UNC.CUAD.AVBA101"
"A02200111",410110,"CUAD-BROADSOFT",71598290,1,36966651,"UNC.CUAD.BS.103"
"A02200111",410110,"CUAD-BROADSOFT",71598290,1,36966653,"UNC.CUAD.BS.203"
"A02200111",410110,"CUAD-BROADSOFT",71598290,1,36966655,"UNC.CUAD.BS.901"
"A02200111",410110,"CUAD-BROADSOFT",71598290,1,36966660,"UNC.CUAD.BS.902"
"A02200107",410110,"CUAD-BROADSOFT",71554799,3,36966577,"UNC.CUAD.BS.103"
"A02200107",410110,"CUAD-BROADSOFT",71554799,3,36966579,"UNC.CUAD.BS.203"
"A02200107",410110,"CUAD-BROADSOFT",71554799,3,36966581,"UNC.CUAD.BS.901"
"A02200107",410110,"CUAD-BROADSOFT",71554799,1,36966586,"UNC.CUAD.BS.902"
"A02200652",411399,"CUAD-AVAYA",71797814,1,37051048,"UNC.CUAD.AVBA101"
"A01201215",409468,"CUAD-AVAYA",71840032,2,36953458,"UNC.CUAD.AVBA101"
"A01201039",409004,"CUAD-AVAYA",70145748,1,36947305,"UNC.CUAD.AVBA101"
"A01201087",409066,"CUAD-AVAYA",70114166,1,36948030,"UNC.CUAD.AVBA101"
"A01201098",409066,"CUAD-AVAYA",71547514,1,36948060,"UNC.CUAD.AVBA101"
