"tecnología","cliente","sitio","siteName","fcs","status"
"CUAD-AVAYA","BBVA BANCOMER",70114734,"923 SITE LAS LOMAS ESTRELLA","[""V0000000428""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71286273,"4609 LA PAZ COLOSIO","[""A01180668""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114804,"3613 ECATEPEC VALLE DE GUADALUPE","[""A10200892"",""V0000000429""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114674,"A0_657 HERMOSILLO COLOSIO","[""A12120130""]","[""Cancelado""]"
"CUAD-AVAYA","BBVA BANCOMER",70114742,"692 CHIGNAHUAPAN CENTRO","[""V0000000417""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115179,"4317 TORREON CENTRO","[""A12172011"",""A07191562""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115746,"596 PLAZA SUR ZAPOPAN","[""V0000000466""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114854,"3636 AURRERA ZARAGOZA","[""V0000000446""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114875,"1014 ZAPOPAN PLAZA DEL SAUZ","[""V0000000459""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71305852,"844 EMPRESAS SANTA FE","[""V0000000449""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114905,"3520 CHIMALHUACAN","[""V0000000436""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114904,"1230 TEPALCATEPEC ALTAMIRANO","[""V0000000471""]","[""Activo""]"
"CUAD-CISCO","BANCO MERCANTIL DEL NORTE, S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO B",71791939,"MODULO LA COMER PUEBLA TIENDA 422","[""V0000000698"",""A03190936""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71577972,"879 MEXICO-TACUBA","[""V0000000456""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114590,"3522 HUIXQUILUCAN","[""A04200271"",""V0000000433""]","[""Activo""]"
"CUAD-BROADSOFT","INSTITUTO ELECTORAL DEL ESTADO DE  GUANAJUATO",71646015,"IEEG TARANDACUAO GALEANA","[""A12170594"",""A10170180""]","[""Cancelado""]"
"CUAD-AVAYA","BBVA BANCOMER",71513173,"531 TECAMACHALCO","[""V0000000413""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115694,"568  PLAZA CRYSTAL","[""A03180555""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71777244,"SITE 362 PORTAL D10 (CUERNAVACA)","[""A03194700""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114903,"1228 APATZINGAN SOTERO","[""V0000000470""]","[""Activo""]"
"CUAD-BROADSOFT","TPS",71593902,"EL LECHUGAL","[""A10160138""]","[""Activo""]"
"CUAD-AVAYA","SANOH INDUSTRIAL DE MEXICO, S.A. DE C.V.",71430011,"SANOH AGUASCALIENTES DSP","[""A10201428"",""A10201386"",""A08200371""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114714,"3577 AURRERA STA CECILIA","[""V0000000427""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114815,"785 CD VALLES BOULEVARD","[""V0000000437""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114857,"3639 LEYES DE REFORMA","[""V0000000447""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114826,"854 COZUMEL CENTRO","[""V0000000453""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71273520,"5199 VERACRUZ LAS BRISAS","[""A01180985""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114707,"669 PAPANTLA ENRIQUEZ","[""V0000000416""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114611,"3532 NEZA VALLE DE ARAGON","[""V0000000434""]","[""Activo""]"
"CUAD-CISCO","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL",71313162,"MIFEL SANTA FE II","[""A08140102""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70118534,"3738 PUEBLA 5 DE MAYO","[""A12200797"",""A11200710"",""A07190825""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70197249,"1151 CANCUN MODULO ADUANAL PUERTO MORELOS","[""V0000000474""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114756,"3740 ANIMAS VERGEL","[""A09130064""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115025,"1289 TLALNEPANTLA TENAYUCA","[""V0000000493""]","[""Activo""]"
"CUAD-AVAYA","CLARO ENTERPRISE SOLUTIONS, LLC",71842637,"BUPA ANGELES LOMAS","[""A03200525""]","[""Cancelado""]"
"CUAD-BROADSOFT","LALA ADMINISTRACION Y CONTROL, S.A. DE C.V.",71707323,"OFICINAS MONTERREY","[""A04190227""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70197251,"1153 MOD ADUANAL SLP","[""V0000000475""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70224684,"5036 EL SAUCITO","[""V0000000509""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71596145,"3690 NEZA LAS AGUILAS 1","[""V0000000525""]","[""Activo""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467445,"RIOVERDE","[""A11150540""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115207,"1202 AUTLAN CENTRO","[""V0000000485""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71450731,"4780 AMARANTO","[""V0000000505""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114712,"3717 HUEHUETOCA","[""V0000000533""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71465796,"4779 REYNOSA PLAZA AEROPUERTO","[""V0000000501""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71238345,"5084 OCOTOLA OAX","[""V0000000531""]","[""Activo""]"
"CUAD-BROADSOFT","RED NACIONAL ULTIMA MILLA S.A.P.I. DE C.V.",71842175,"RIO DE LA PLATA","[""A09201183"",""A04201095"",""A03200726""]","[""Activo"",""Cancelado""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467280,"CUAUTITLANDEROMERORUBIO","[""A11150594""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114390,"319 ZITACUARO EMILIO GARCIA","[""A12120103""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115037,"1293 LA PASTORA","[""V0000000494""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70122107,"6760 URUAPAN 20 DE NOVIEMBRE","[""A09130406""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71440374,"4793 PLAZA LAS AMERICAS","[""V0000000503""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71236257,"5075 AMECAMECA","[""A01201126"",""V0000000527""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71381002,"4681 SENADO DE LA REPUBLICA","[""V0000000502""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115301,"5674 LAS VARAS CENTRO","[""A05181935""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71238341,"5086 TLAPA","[""V0000000529""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70122087,"477 LEON OFNA PRINCIPAL","[""A07200456""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115214,"1207 SAN MARTIN HIDALGO","[""V0000000487""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115243,"5325 CALKINI CAMPECHE","[""V0000000583"",""A08180610"",""A10180385"",""A12180732""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114577,"3658 COMERCIAL IZTAPALAPA","[""V0000000510""]","[""Activo""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467538,"PARRAL","[""A11150099""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70200467,"5020 MADERO REFINERIA","[""V0000000507""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70223947,"5041 SEVILLA DEL RIO","[""V0000000508""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114546,"612 MAZATLAN JUAN CARRASCO","[""A12173782""]","[""Activo""]"
"CUAD-BROADSOFT","OPTICAS DEVLYN, S.A. DE C.V.",71619000,"WALMART LAS ADELITAS (CD VICTORIA)","[""A03170868""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114675,"3700 AHORRO POSTAL","[""V0000000521""]","[""Activo""]"
"CUAD-BROADSOFT","FISCALIA GENERAL DEL ESTADO DE TABASCO",71498536,"FISCALIA CENTRAL","[""A06160237"",""A07160194""]","[""Cancelado"",""Activo""]"
"CUAD-CISCO","GEO HOGARES IDEALES, S.A. DE C.V.",70080747,"CAV CALLE 4","[""A02170588""]","[""Cancelado""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467360,"CANCUN4 PLAZA HEROES","[""A11150664""]","[""Activo""]"
"CUAD-BROADSOFT","NUESTRA CAJA S.A. DE C.V.",71824427,"CUAD HUIMANGUILLO","[""A08190937""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115204,"1201 TECOLOTLAN","[""V0000000473""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71437377,"4757 LAS JUNTAS","[""V0000000496"",""V0000000497""]","[""Activo""]"
"CUAD-CISCO","BANCO DEL BIENESTAR, SOCIEDAD NACIONAL DE CRÉDITO, INSTITUCIÓN DE BANCA DE DESAR",71843974,"METEPEC TULANCINGO DE BRAVO","[""A11200534"",""A09200023""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",71379813,"2353 CENTRO HIPOTECARIO CD JUAREZ","[""A04150194"",""A04150206""]","[""Cancelado"",""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114982,"3852 NVO LAR MOD ADUANA ARTEAGA","[""V0000000543""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71441122,"4787 CITADELLA","[""A01201078"",""V0000000504""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70199845,"5012 SAN LUIS RIO COLORADO","[""V0000000506""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71424266,"6403 PATRIMONIAL TIJUANA","[""A08200883"",""A04190545"",""A04194904"",""A01181748"",""V0000000279""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71234120,"5066 REYNOSA PERIFERICO","[""V0000000596"",""V0000000519""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71238343,"5085 EL GRULLO","[""V0000000530""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114686,"3703 PLAZA ZARAGOZA","[""V0000000522""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114453,"383 SUC MARAVATIO CENTRO","[""A09130113""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71623701,"1164 CD VALLE GLORIETA","[""A05192340""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114720,"3721 VALLE DE CHALCO","[""V0000000534""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70115463,"A0_6717 YAJALON CENTRO","[""A08130310""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114947,"3791 SAN NICOLAS LA FE","[""V0000000542""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114174,"32 PALMAS","[""A09170634"",""A02182026""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115209,"1203 U NION DE TULA","[""V0000000486""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71777511,"SITE 369  FORUM BY THE SEA","[""A03194933""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71235297,"5071 SOLEDAD","[""V0000000597"",""V0000000520""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114729,"3729 MODULO ADUANA PANTACO","[""V0000000535""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71238336,"A0_5081 TLAXIACO OAXACA","[""V0000000528""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115001,"1263 ETZATLAN","[""V0000000490""]","[""Activo""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467297,"TOLUCAV","[""A11150603""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71277201,"5216 ACATIC CENTRO","[""V0000000560""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71254123,"5126 NOGALES SAN CARLOS","[""V0000000553""]","[""Activo""]"
"CUAD-BROADSOFT","DENTIX MEXICO HEATLH S.C.",71641075,"DENTIX PRQ TEZONTLE","[""A07170369""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71712906,"288 SAN NICOLAS JARDINES DE ANAHUAC","[""A02191738"",""A11181134"",""A05192806""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70119703,"3796 ESCOBEDO MODULO ADUANA","[""V0000000544""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114751,"3604 MEGA COMERCIAL MIXCOAC","[""A10120106""]","[""Cancelado""]"
"CUAD-CISCO","CIBANCO, S.A INSTITUCION DE BANCA MULTIPLE",71425199,"SATELITE PAFNUNCIO PADILLA","[""A06190213""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71280853,"5270 DURANGO PLAZA PASEO","[""V0000000573""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114931,"1069 COLONIA ATLAS","[""A08190383"",""V0000000339""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71777260,"SITE 44 CITY CENTER MÉRIDA","[""A03194930""]","[""Activo""]"
"CUAD-CISCO","BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS SNC",71351405,"LA PIEDAD 334","[""A12130152""]","[""Cancelado""]"
"CUAD-BROADSOFT","FISCALIA GENERAL DEL ESTADO DE TABASCO",71549055,"CPJ JONUTA","[""A10160015""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115464,"5438 SANTIAGO PAPASQUIARO","[""A06180246"",""A05193386""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71297321,"5307 AMATEPEC","[""V0000000582""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71276148,"5222 ATOTONILCO","[""V0000000563""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71283563,"A0_5224 BUCERIAS","[""V0000000567""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115429,"5956 RIO GRANDE CENTRO","[""V0000000549""]","[""Activo""]"
